City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Pailon,BO,2021-11-23 19:49:07,-17.65,-62.75,94.1,41,100,9.48
243,Talnakh,RU,2021-11-23 19:39:25,69.4865,88.3972,11.73,92,100,11.79
244,Buraydah,SA,2021-11-23 19:49:08,26.326,43.975,63.05,46,1,10.22
245,Tucupita,VE,2021-11-23 19:49:08,9.0622,-62.051,85.42,68,75,3.71
246,Baykit,RU,2021-11-23 19:39:32,61.67,96.37,16.79,97,100,3.51
247,Charters Towers,AU,2021-11-23 19:49:09,-20.1,146.2667,73.81,88,97,8.68
248,Sinegorye,RU,2021-11-23 19:49:09,62.0788,150.477,-17.73,96,28,1.68
249,Ginir,ET,2021-11-23 19:49:10,7.1333,40.7,56.89,52,39,4.47
250,Batticaloa,LK,2021-11-23 19:49:10,7.7102,81.6924,78.3,86,100,4.43
251,Corralillo,CU,2021-11-23 19:49:10,22.9819,-80.5856,72.1,67,96,15.21
252,The Valley,AI,2021-11-23 19:46:53,18.217,-63.0578,87.66,69,40,9.22
253,Pangnirtung,CA,2021-11-23 19:49:11,66.1451,-65.7125,30.2,64,90,27.63
254,Kavieng,PG,2021-11-23 19:40:39,-2.5744,150.7967,83.3,75,100,15.28
255,Nikolskoye,RU,2021-11-23 19:49:12,59.7035,30.7861,29.39,84,72,6.53
256,Richmond,US,2021-11-23 19:49:12,37.5538,-77.4603,47.07,32,20,1.99
257,Seoul,KR,2021-11-23 19:48:12,37.5683,126.9778,31.6,65,0,3.44
258,Teguldet,RU,2021-11-23 19:49:13,57.3064,88.1667,29.66,84,100,12.06
259,Berlevag,NO,2021-11-23 19:49:13,70.8578,29.0864,21.15,68,0,13.8
260,Nouadhibou,MR,2021-11-23 19:49:13,20.931,-17.0347,78.78,57,100,13.8
261,Sangar,RU,2021-11-23 19:49:14,63.9242,127.4739,-29.15,99,96,2.44
262,Monrovia,LR,2021-11-23 19:49:14,6.3005,-10.7969,82.17,79,70,8.99
263,Santa Cruz,BO,2021-11-23 19:49:15,-17.8,-63.1667,92.66,55,75,14.97
264,Qaanaaq,GL,2021-11-23 19:49:15,77.484,-69.3632,-6.56,67,86,9.46
265,Chake Chake,TZ,2021-11-23 19:49:16,-5.2459,39.7666,78.26,88,71,4.92
266,Hobyo,SO,2021-11-23 19:49:16,5.3505,48.5268,80.51,72,74,6.62
267,Sulangan,PH,2021-11-23 19:49:16,11.1373,123.7228,82.85,77,100,17.36
268,Toora-Khem,RU,2021-11-23 19:49:17,52.4675,96.11,9.3,97,100,1.41
269,Aksu,CN,2021-11-23 19:49:17,41.1231,80.2644,29.12,54,8,0.78
270,Toledo,ES,2021-11-23 19:46:04,39.8333,-4.0,46.08,85,95,3.24
271,Fortuna,US,2021-11-23 19:49:18,40.5982,-124.1573,55.92,70,20,1.01
272,Veraval,IN,2021-11-23 19:49:19,20.9,70.3667,79.25,63,100,6.51
273,Camapua,BR,2021-11-23 19:49:19,-19.5314,-54.0439,85.98,60,90,4.56
274,Yanam,IN,2021-11-23 19:49:20,16.7333,82.2167,76.8,89,20,3.38
275,Moratuwa,LK,2021-11-23 19:49:20,6.773,79.8816,75.22,86,100,10.02
276,Tongliao,CN,2021-11-23 19:47:53,43.6125,122.2653,7.77,81,0,9.26
277,Pitsunda,GE,2021-11-23 19:50:21,43.1592,40.3378,53.78,64,100,9.69
278,Flin Flon,CA,2021-11-23 19:48:38,54.7682,-101.865,12.04,73,90,13.8
279,Norman Wells,CA,2021-11-23 19:50:21,65.282,-126.8329,-21.96,69,75,2.3
280,Kahului,US,2021-11-23 19:50:22,20.8947,-156.47,85.26,64,20,10.36
281,Harku,EE,2021-11-23 19:50:22,59.1325,24.3711,31.96,99,84,6.11
282,Prince George,CA,2021-11-23 19:50:23,53.9166,-122.753,33.62,74,1,8.05
283,Egvekinot,RU,2021-11-23 19:50:23,66.3167,-179.1667,-3.96,64,18,6.98
284,Cayeli,TR,2021-11-23 19:50:24,41.0923,40.7292,59.7,56,100,6.22
285,Tarakan,ID,2021-11-23 19:50:24,3.3,117.6333,79.11,85,77,7.16
286,Leningradskiy,RU,2021-11-23 19:50:25,69.3833,178.4167,-13.97,80,44,5.17
287,Saldanha,ZA,2021-11-23 19:50:25,-33.0117,17.9442,62.65,78,100,28.27
288,Bologoye,RU,2021-11-23 19:50:25,57.8799,34.1068,19.65,75,10,5.12
289,Cidreira,BR,2021-11-23 19:50:26,-30.1811,-50.2056,70.18,62,3,14.58
290,Novyy Urgal,RU,2021-11-23 19:50:26,51.0736,132.5642,28.44,67,100,14.88
291,Kiruna,SE,2021-11-23 19:49:01,67.8557,20.2251,9.52,92,40,2.3
